lat,long,min_temp,max_temp,elevation,isothermality,mean_temp,precip,seasonal_temp,pred_cluster,species,community,new,province,genus
42.45,-8.45,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"42.45,-8.45",Ourense,Salamandra
42.46,-8.44,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Canis lupus,Galicia,"42.46,-8.44",Ourense,Canis
42.464,-8.435,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.464,-8.435",Ourense,Vulpes
42.46,-8.442,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.46,-8.442",Ourense,Vulpes
42.455,-8.44,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.455,-8.44",Ourense,Vulpes
42.474,-8.437,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.474,-8.437",Ourense,Vulpes
42.474,-8.436,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.474,-8.436",Ourense,Vulpes
42.474,-8.433,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.474,-8.433",Ourense,Vulpes
42.461,-8.433,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.461,-8.433",Ourense,Vulpes
42.468,-8.433,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.468,-8.433",Ourense,Vulpes
42.47,-8.431,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.47,-8.431",Ourense,Vulpes
42.4,-8.5,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Vulpes vulpes,Galicia,"42.4,-8.5",Ourense,Vulpes
42.267,-8.783,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Tyto alba,Galicia,"42.267,-8.783",Ourense,Tyto
42.772,-8.103,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Bufo spinosus,Galicia,"42.772,-8.103",O Deza,Bufo
42.772,-8.102,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Bufo spinosus,Galicia,"42.772,-8.102",O Deza,Bufo
42.817,-6.902,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Lissotriton boscai,Galicia,"42.817,-6.902",Le�n,Lissotriton
42.6,-8.65,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Salamandra salamandra,Galicia,"42.6,-8.65",Ourense,Salamandra
42.633,-9.039,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Hyla molleri,Galicia,"42.633,-9.039",Noia,Hyla
42.633,-9.038,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Hyla molleri,Galicia,"42.633,-9.038",Noia,Hyla
42.452,-8.855,-0.052844274,-1.496971358,0.193759948,0.002438769,-0.83859818,0.160950702,-0.759476537,3,Hyla molleri,Galicia,"42.452,-8.855",Ourense,Hyla
