lat;long;min_temp;max_temp;elevation;isothermality;mean_temp;precip;seasonal_temp;pred_cluster;species;community
37.237;-1.856;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Hemorrhois hippocrepis;Andalucia
36.797;-2.256;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.835;-2.294;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.82;-2.286;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.763;-2.224;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.759;-2.222;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.79;-2.26;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.799;-2.253;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.76;-2.24;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.768;-2.232;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.75;-2.23;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.736;-3.936;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.738;-4.55;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.718;-4.3;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
37.13;-2.79;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Hemorrhois hippocrepis;Andalucia
36.79;-2.07;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Hemorrhois hippocrepis;Andalucia
36.73;-2.143;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Timon nevadensis;Andalucia
36.736;-2.205;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.847;-2.041;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.847;-2.04;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.839;-2.208;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Hemorrhois hippocrepis;Andalucia
36.808;-2.147;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.808;-2.146;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Chamaeleo chamaeleon;Andalucia
36.753;-2.95;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Podiceps cristatus;Andalucia
36.753;-2.95;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Ixobrychus minutus;Andalucia
36.753;-2.95;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Netta rufina;Andalucia
36.753;-2.95;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Tachybaptus ruficollis;Andalucia
36.753;-2.95;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Ixobrychus minutus;Andalucia
36.753;-2.95;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Podiceps nigricollis;Andalucia
36.753;-2.95;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Tachybaptus ruficollis;Andalucia
36.753;-2.95;0.26025767;1.550703385;-0.299635398;0.386285653;0.954123006;0.985189336;0.481244972;0;Podiceps cristatus;Andalucia
